Date,Username,User tag,Content,Mentions,link
"2022-06-25,21:21:27","nichochar","#0","I’m around. That issue is due to the node version being too old","",""
"2022-06-25,21:21:36","nichochar","#0","Can you bump node to something > 16","",""
"2022-06-25,21:21:45","jamalavedra","#0","can confirm, thanks!","",""
"2022-06-25,21:22:08","nichochar","#0","Check this thread https://discord.com/channels/554623348622098432/981708984056696892/990340990613209118","",""
"2022-06-25,21:22:17","nichochar","#0","Do you mean to confirm your node version was old ?","jamalavedra#0",""
"2022-06-25,21:23:14","nichochar","#0","Hey where are you? We can come over","mof3078#0",""
"2022-06-25,21:23:33","jamalavedra","#0","yes, had the issue with 14. Changed it to 16 and worked fine","",""
"2022-06-25,21:23:42","nichochar","#0","Amazing good job","",""
"2022-06-25,21:58:31","mof3078","#0","im on the main floor, in the back near the second set of coffee tables. if facing the stage, im all the way to the right. Wearing a Yacht Rock Trucker hat","nichochar#0",""
"2022-06-25,22:17:00","ajt123","#0","hey hey, have some questions around permissions- are you still here ?:)","",""
"2022-06-25,23:04:17","nichochar","#0","We left but shoot the question, we can respond in discord!","",""
"2022-06-25,23:04:35","nichochar","#0","Sorry we left a couple hours ago. Can you tell me more about the issue?","mof3078#0",""
"2022-06-26,00:07:50","sternhenri","#0","Still having an issue <@894926959304400917> <@813185428751384577> ?","mof3078#0、ajt123#0",""
"2022-06-26,00:16:14","mof3078","#0","i fixed most of it except that all of the information i input isn't going into privy dashboard, debugging now. If your around i can show you, if you are not around i think i'll have it fixed tonight","sternhenri#0",""
"2022-06-26,01:36:15","sternhenri","#0","Not around but happy to hop on zoom if you’d like — very curious about what you’re running into","mof3078#0",""
"2022-06-26,01:36:45","sternhenri","#0","Note that the dashboard only shows you data that is readable by admins (Ie you)","",""
"2022-06-26,04:47:12","msk","#0","Anyone using Privy or can help at this ungodly hour?","",""
"2022-06-26,07:07:30","astasidedown","#0","Hi there! What's your issue? Happy to help async!","",""
"2022-06-26,07:17:18","msk","#0","I'm having trouble sending a put request to hit all my fields!","",""
"2022-06-26,07:17:26","msk","#0","I'm able to update name but not my other fields","",""
"2022-06-26,07:18:57","msk","#0","```
const submitDataToPrivy = async (username, discordHandle, twitterHandle) => {

    let dataArr = [];

    if(username) {
      dataArr.push({
        field: ""name"",
        value: username
      });
    } else if (discordHandle) {
      dataArr.push({
        field: ""discord"",
        value: discordHandle
      })
    }  else if (twitterHandle) {
      dataArr.push({
        field: ""twitter"",
        value: twitterHandle
      })
    } 

    const [name, discord, twitter] = await client.put(state?.userId, dataArr);

    setState({
      ...state,
      name: name.text(),
      discordHandle: discord,
      twitterHandle: twitter
    })
  }
```","",""
"2022-06-26,07:19:14","msk","#0","That's the code I have for putting, but discord and twitter never updates, only name does!","",""
"2022-06-26,08:07:22","astasidedown","#0","hmm, does it work if you try updating the fields one by one?","",""
"2022-06-26,08:55:54","nichochar","#0","It’s because you have else ifs rather than ifs","",""
"2022-06-26,08:56:10","nichochar","#0","So the logic can only go through one branch.","",""
"2022-06-26,09:29:13","jamalavedra","#0","Are you guys around during the sponsor judging ?","",""
"2022-06-26,09:47:49","nichochar","#0","Yes, we are judging at the tables within the booths","",""
"2022-06-26,10:03:28","sternhenri","#0","look for the table with the t shirt w a peach on it! we're between walletconnect and superfluid","",""
"2022-06-26,10:06:13","jamalavedra","#0","Thanks! will come by","",""
"2022-06-26,10:16:07","harsheyskisses","#0","Hey!! Is the privy team here at the demos?","",""
"2022-06-26,10:19:14","nichochar","#0","Yep, we're close to the superfluid booth","",""
"2022-06-26,11:06:02","msk","#0","Where you guys at right now? Looking to swing by!","",""
"2022-06-26,11:06:05","shreenam","#0","I am here near superfluid. How are the sponsor demos going . Is there a check in or is it random","",""
"2022-06-26,11:10:06","jamalavedra","#0","<@206487791914188800> still around ?","nichochar#0",""
"2022-06-26,11:35:55","harsheyskisses","#0","Hi <@763089114060292096>vy team!! Here’s the demo for Dorknet:","pri#8371",""
"2022-06-26,12:00:01","sternhenri","#0","thanks <@801970275633332254>","harsheyskisses#0",""
"2022-06-26,12:01:51","msk","#0","<@691128359853228053> are you still around?","sternhenri#0",""
"2022-06-26,12:01:56","sternhenri","#0","yessir","",""
"2022-06-26,12:02:11","msk","#0","We'd love to talk to you if you have a minute!","",""
"2022-06-26,12:02:58","sternhenri","#0","yeah -- lemme finish a few prez 😄 come to our table after?","",""
"2022-06-26,12:03:20","msk","#0","Where is your table?","",""
"2022-06-26,12:07:37","sternhenri","#0","between superflui and walletconnect","",""
"2022-06-26,12:28:30","astasidedown","#0","FYI we are at a round table by the Superfluid booth. ""Privy"" sign on the table","",""
